papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Bruta,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Líq/ Patrim.,Cresc. Rec.5a,Earnings Yield,Valor,Quantidade,Estratégia,Ativos na Carteira,Volume Mínimo,Data,Ranking_EY,Ranking_ROIC,Magic Formula
WIZC3,8.13,6.69,1.89,0.966,0.07730000000000001,0.538,35.54,1.93,-2.68,1.92,1.66,"61,24%",0.5003,0.2647,1.06,34.9,0.2826,4445100.0,687369000.0,-0.01,0.1384,52.1,42178.44,5188.0,Earnings Yield,30,400000,2026-05-21,,,
QUAL3,1.86,34.68,0.41,0.38,0.003,0.133,-4.6,0.88,-0.38,2.21,1.52,"87,58%",0.43119999999999997,0.0161,0.92,23.1,0.011699999999999999,8457180.0,1304090000.0,0.61,-0.09609999999999999,45.2,43417.98,23343.0,Earnings Yield,30,400000,2026-05-21,,,
PCAR3,2.17,-0.51,1.61,0.057,0.0,0.066,-0.27,0.65,-0.1,2.62,1.54,"28,23%",0.0872,-0.1112,0.56,12.8,-3.1601,16082000.0,662000000.0,4.84,-0.13419999999999999,38.2,43957.689999999995,20257.0,Earnings Yield,30,400000,2026-05-21,,,
PLPL3,10.41,6.32,1.99,0.622,0.0473,0.481,0.82,2.55,2.88,2.66,2.59,"29,95%",0.2441,0.1131,2.87,29.4,0.3156,65767500.0,1064270000.0,0.08,0.28559999999999997,37.6,37954.86,3646.0,Earnings Yield,30,400000,2026-05-21,,,
BHIA3,1.56,-0.42,0.86,0.051,0.0,0.046,-0.25,0.65,-0.09,3.17,2.19,"30,54%",0.0785,-0.12300000000000001,0.72,10.5,-2.0495,14908500.0,1778000000.0,3.29,-0.0176,31.5,27388.920000000002,17557.0,Earnings Yield,30,400000,2026-05-21,,,
GOAU4,10.25,23.61,0.72,0.196,0.032400000000000005,0.167,0.74,2.19,24.24,3.51,2.2,"12,02%",0.08960000000000001,0.0241,2.76,8.9,0.0304,85379200.0,18917700000.0,0.43,-0.0506,28.5,52234.0,5096.0,Earnings Yield,30,400000,2026-05-21,,,
LREN3,14.7,9.91,1.43,0.929,0.060899999999999996,0.784,3.09,4.04,6.05,3.64,2.69,"61,95%",0.2297,0.09369999999999999,1.77,23.8,0.1441,264829000.0,10366100000.0,-0.14,0.0758,27.5,46187.399999999994,3142.0,Earnings Yield,30,400000,2026-05-21,,,
CEAB3,11.15,5.88,0.93,0.43,0.046799999999999994,0.398,2.14,3.6,-3.77,3.74,2.74,"55,84%",0.11939999999999999,0.0732,1.67,14.7,0.15789999999999998,105901000.0,3702830000.0,0.04,0.09910000000000001,26.7,42793.700000000004,3838.0,Earnings Yield,30,400000,2026-05-21,,,
CSED3,4.32,5.79,0.95,0.549,0.1124,0.324,3.57,2.92,-0.8,3.77,2.52,"51,06%",0.1881,0.0949,1.55,14.3,0.1646,4218800.0,1652140000.0,0.28,0.1143,26.5,36452.16,8438.0,Earnings Yield,30,400000,2026-05-21,,,
ASAI3,8.61,16.65,1.98,0.151,0.0121,0.247,7.19,1.88,-0.49,3.81,2.96,"17,44%",0.0803,0.009000000000000001,1.1,19.7,0.1189,119431000.0,5887000000.0,2.04,0.1492,26.2,44634.24,5184.0,Earnings Yield,30,400000,2026-05-21,,,
